consent,globalM,year,gender,confidence,friends,read,write,speak,listen
Consent,Yes,1991,Female,2.33,5,72,80,62,39
Consent,Yes,1991,Male,2.74,10,71,79,64,30
Consent,Yes,1992,Male,3.43,6,73,80,63,31
Consent,Yes,1992,Female,3.47,15,75,83,63,33
Consent,Yes,1993,Male,3.47,24,71,80,63,24
Consent,Yes,1992,Male,3.57,27,73,82,66,40
Consent,Undisc,1993,Male,3.59,28,72,81,64,36
Consent,Yes,1992,Male,3.64,4,70,80,63,28
Consent,Yes,1993,Male,3.65,25,72,83,65,36
Consent,Yes,1991,Male,3.65,2,75,82,62,41
Consent,Yes,1993,Female,3.66,21,74,82,63,42
Consent,Yes,1994,Female,3.69,5,73,83,62,31
Consent,Yes,1993,Female,3.70,27,71,81,65,37
Consent,Yes,1993,Male,3.72,5,72,80,65,33
Refused,Yes,1993,Male,3.73,5,72,80,64,31
Consent,Yes,1993,Male,3.73,21,74,82,64,35
Consent,Yes,1992,Male,3.75,20,75,83,66,40
Consent,Yes,1993,Male,3.80,21,72,83,64,24
Consent,Yes,1991,Genderqueer,3.81,3,73,82,62,35
Consent,Yes,1993,Female,3.81,7,73,82,63,33
Consent,Yes,1993,Male,3.83,25,75,83,63,38
Consent,Yes,1991,Female,3.85,8,71,81,64,40
Consent,Yes,1993,Male,3.87,18,72,82,66,32
Consent,Yes,1994,Female,3.90,28,75,84,63,39
Consent,Yes,1992,Male,3.94,4,69,80,66,37
Consent,Yes,1993,Female,3.97,8,72,82,65,34
Consent,Yes,1991,Male,3.98,13,74,82,64,32
Consent,Yes,1993,Female,4.01,11,70,82,65,46
Consent,Yes,1993,Female,4.05,20,74,85,66,36
Consent,Yes,1993,Male,4.10,27,72,82,66,25
Consent,Yes,1992,Female,4.11,13,71,81,64,33
Consent,No,1993,Male,4.13,25,73,82,64,32
Consent,Yes,1992,Male,4.14,2,75,82,65,30
Consent,Yes,1993,Male,4.17,30,76,82,61,38
Consent,No,1993,Male,4.17,7,74,84,66,37
Consent,No,1993,Male,4.20,13,73,83,66,35
Consent,Yes,1993,Female,4.23,6,72,81,64,31
Refused,Yes,1993,Female,4.26,3,73,85,65,31
